Sentences,Label
Trẻ em từ 12 tuổi trở lên uống 1 viên 4-6-6 lần 24 lần một ngày.,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 viên 6 24 lần một ngày,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 6 viên 24 lần một ngày,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 6 viên 24 lần một ngày,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 6 chu kỳ 24 lần một ngày.,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 6 lần 24 lần một ngày.,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 viên 6 24 lần một ngày,thuoc giam dau
Trẻ em từ 12 tuổi trở lên uống 1 viên 4 6 viên 6 24 lần một ngày,thuoc giam dau
Pha 5 30ml uống Paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ chỉ định của bác sĩ sốt dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày tử vong tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói trộn với trẻ suy thận cl 10 ml phút 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan Cẩn thận với liều lượng rút ​​bỏ phần nào bỏ sót thuốc và uống thuốc đo liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên,thuoc ho
pha 5 30 ml uống Paracetamol cho trẻ hạ sốt 39 5 độ C sốt dai dẳng 3 sốt tái phát trừ khi có chỉ định của bác sĩ sốt dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ em 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói trộn với trẻ suy thận cl 10 ml tối thiểu 8 clcr 10 50 ml phút 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận liều lượng loại bỏ các thuốc đã quên đã dùng liều lượng Uống liều đã quên tiếp theo và lên kế hoạch bù liều đã quên,thuoc ho
hỗn hợp 5 30 ml uống paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ sốt theo giấy giới thiệu của bác sĩ dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói hỗn hợp dành cho trẻ em suy thận cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận liều lượng rút thuốc đã quên uống đúng liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên.,thuoc ho
hỗn hợp 5 30 ml uống paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ sốt theo giấy giới thiệu của bác sĩ dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói hỗn hợp dành cho trẻ em suy thận cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận liều lượng rút thuốc đã quên uống đúng liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên.,thuoc ho
hỗn hợp 5 30 ml uống paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ sốt theo giấy giới thiệu của bác sĩ dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói hỗn hợp dành cho trẻ em suy thận cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận liều lượng rút thuốc đã quên uống đúng liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên.,thuoc ho
hỗn hợp 5 30 ml uống paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ sốt theo giấy giới thiệu của bác sĩ dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 ngày giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói hỗn hợp dành cho trẻ em suy thận cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận liều lượng rút thuốc đã quên uống đúng liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên.,thuoc ho
Pha 5 30 ml Uống Paracetamol cho trẻ hạ sốt 39 5°C Sốt dai dẳng 3 Sốt tái phát trừ khi có chỉ định của bác sĩ Sốt Dấu hiệu bệnh Bác sĩ chẩn đoán nhanh Uống 3 4 4 6 Ngày mất Tối đa 4 liều 24 trẻ 1 2 1 Nhóm trẻ 2 4 1 1 5 gói Trẻ em 4 8 1 5 2 gói Trẻ em 8 12 2 gói Trẻ suy thận hỗn hợp cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan cẩn thận khi dùng thuốc Rút thuốc đã quên uống thang liều của khóa học uống liều đã quên tiếp theo Và lên kế hoạch bù liều đã quên,thuoc ho
pha 5 30 ml uống acetaminophen cho trẻ hạ sốt 39 5 độ C sốt liên tục 3 sốt liên tục trừ khi có chỉ định của bác sĩ các triệu chứng của bệnh bác sĩ nhận biết nhanh chóng 3 4 4 6 ký ức về cái chết liều cao 4 24 trẻ 1 2 1 gói trẻ 2 4 gói 1 1 5 trẻ 4 8 1 5 2 gói trẻ em 8 12 2 gói trộn với trẻ suy thận cl 10 ml phút 8 clcr 10 50 ml phút 6 cicr 10 ml phút 8 suy gan cẩn thận liều rút thuốc ra máy đo lỡ Thực hiện phép đo bị thiếu tiếp theo và lên kế hoạch bù đắp cho lần đo bị thiếu,thuoc ho
pha 5 30 ml uống Paracetamol cho trẻ hạ sốt 39-5 độ C sốt dai dẳng 3 sốt tái phát trừ chỉ định của bác sĩ sốt dấu hiệu bệnh bác sĩ chẩn đoán nhanh uống 3 4 4 6 giỗ tối đa 4 liều 24 trẻ 1 2 1 gói trẻ 2 4 1 1 5 gói trẻ em 4 8 1 5 2 gói trẻ em 8 12 2 gói trộn với bệnh suy thận trẻ em cl 10 ml tối thiểu 8 clcr 10 50 ml tối thiểu 6 cicr 10 ml tối thiểu 8 suy gan thận trọng khi dùng thuốc rút ra thuốc đã quên dùng đồng hồ đo liều Dùng liều đã quên tiếp theo và lên kế hoạch bù liều đã quên,thuoc ho
Pha 5 30 ml Uống Paracetamol hạ sốt ở trẻ em 39 5°C Sốt dai dẳng 3 Sốt tái phát Sốt không theo chỉ định của bác sĩ Triệu chứng của bệnh Bác sĩ chẩn đoán ngay 3 4 4 6 Lấy ngày chết Tối đa 4 liều 24 Trẻ 1 2 1 Gói Trẻ em 2 4 1 1 5 Gói Trẻ em 4 8 1 5 2 Gói Trẻ em 8 12 2 Gói Suy thận hỗn hợp Trẻ em CL 10 ml tối thiểu 8 CCR 10 50 ml tối thiểu 6 CCR 10 ml tối thiểu 8 Suy gan Rút liều Cẩn trọng lấy ra thuốc đã quên đo liều đã uống uống liều đã quên tiếp theo và lên kế hoạch bù liều đã quên,thuoc ho
Thành phần 460 mg hỗn hợp thuốc khô tương đương Siberian Rhizoma 494 mg Radix saposhnikoviae divaricatae 329 2 mg Licorice Radix và Rhizoma glycyrrhizae 230 4 mg Sinh Khong Rhizoma zingiberis rinsus 806 4 mg Perilla folium perillae frutescensis 494 mg Marjoram Elschulzia cilia 329 2 mg kinh nguyệt fructus viticis Trifoliate 329 2 mg tần số gentianae 329 2 mg pericarpium citri reticulatae perenne 494 mg Rhizoma ligustici wallichii 164 4 mg Tá dược cellulose vi tinh thể canxi cacbonat magie stearat natri tinh bột glycolate silicon dioxide oxit sắt màu nâu titan dioxide hydroxypropyl methyl cellulose 6cps peg 6000 talc,thuoc ho
Thành phần Hỗn hợp thuốc khô tương đương 460 mg rhizoma cyperi 494 mg radix saposhnikoviae divaricatae 329 2 mg cam thảo radix et rhizoma glycirizae 230 4 mg Sinh Khương rhizoma zingiberis recens 806 4 mg tía tô folium perillae frutescensis 494 mg kinh giới herba elsholtziae ciliatae 329 2 mg miếng trái cây viticis trifoliate 329 2 mg tần số radix gentianae 329 2 mg pericarpium citri reticulatae perenne 494 mg rhizoma ligustici wallichii 164 4 mg tá dược cellulose vi tinh thể canxi cacbonat magie stearat natri tinh bột glycolate silicon dioxide oxit sắt nâu titan dioxide hydroxypropyl methyl cellulose 6 cps peg 6000 talc,thuoc ho
thành phần 460 mg mélange thuốc sec tương đương au rhizoma cây bách 494 mg saposhnikovia divaricata rễ 329 2 mg rễ réglisse và glycyrrhizae rhizoma 230 4 mg Sinh Khương rhizoma gừng tươi 806 4 mg lá tía tô lá tía tô tía tô frutescensis 494 mg marjolaine thảo dược elsholtzia ciliata 32 9 2 mg trái cây kinh nguyệt viticis trifolié 329 2 mg tần số radix gentianae 329 2 mg pericarpium citri reticulata perenne 494 mg rhizome ligusta wallichii 164 4 mg tá dược cellulose microcristalline cacbonat de canxi stearate de magie glycolat d'amidon sodique dioxyde de silicium oxyde de fer dioxyde de titan nâu hydroxypropylmethylcellulose 6cps peg 6000 bột talc,thuoc ho
thành phần 460 mg hỗn hợp thuốc khô tương đương với rhizoma cyperi 494 mg radix saposhnikoviae divaricatae 329 2 mg cam thảo radix và rhizoma gycyrrhizae 230 4 mg Sinh Khương rhizoma zingiberis recens 806 4 mg tía tô folium perillae frutescensis 494 mg kinh giới elsholtziae ciliatae 329 2 mg kinh nguyệt rối loạn viticis trifoliate 329 2 mg tần số radix gentianae 329 2 mg percarpium citri reticulatae lâu năm 494 mg rhizoma ligustici wallichii 164 4 mg tá dược cellulose vi tinh thể canxi cacbonat magie stearat tinh bột natri glycolat silicon dioxide oxit sắt nâu titan dioxide hydroxypropylmethylcellulose 6cps peg 6000 talc,thuoc ho
Thành phần 460 mg hỗn hợp thuốc khô tương đương Siberian Rhizoma 494 mg Radix saposhnikoviae divaricatae 329 2 mg Licorice Radix và Rhizoma glycyrrhizae 230 4 mg Sinh Khong Rhizoma zingiberis rinsus 806 4 mg Perilla folium perillae frutescensis 494 mg Marjoram Elschulzia cilia 329 2 mg kinh nguyệt fructus viticis Trifoliate 329 2 mg tần số gentianae 329 2 mg pericarpium citri reticulatae perenne 494 mg Rhizoma ligustici wallichii 164 4 mg Tá dược cellulose vi tinh thể canxi cacbonat magie stearat natri tinh bột glycolate silicon dioxide oxit sắt màu nâu titan dioxide hydroxypropyl methyl cellulose 6cps peg 6000 talc,thuoc ho
thành phần 460 mg mélange thuốc sec tương đương au rhizoma cây bách 494 mg saposhnikovia divaricata rễ 329 2 mg rễ réglisse và glycyrrhizae rhizoma 230 4 mg Sinh Khương rhizoma gừng tươi 806 4 mg lá tía tô lá tía tô tía tô frutescensis 494 mg marjolaine thảo dược elsholtzia ciliata 32 9 2 mg trái cây kinh nguyệt viticis trifolié 329 2 mg tần số radix gentianae 329 2 mg pericarpium citri reticulata perenne 494 mg rhizome ligusta wallichii 164 4 mg tá dược cellulose microcristalline cacbonat de canxi stearate de magie glycolat d'amidon sodique dioxyde de silicium oxyde de fer dioxyde de titan nâu hydroxypropylmethylcellulose 6cps peg 6000 bột talc,thuoc ho
thành dược chất 460 mg khô hỗn hợp dược liệu tương đương hương phụ rhizoma cyperi 494 mg phòng phong radix saposhnikoviae divaricatae 329 2 mg cam thảo radix et rhizoma glycyrrhizae 230 4 mg sinh khương rhizoma zingiberis recens 806 4 mg tía tô folium perillae frutescensis 494 mg kinh giới herba elsholtziae ciliatae 329 2 mg mạn kinh tử fructus viticis trifoliate 329 2 mg tần giao radix gentianae 329 2 mg trần bì pericarpium citri reticulatae perenne 494 mg xuyên khung rhizoma ligustici wallichii 164 4 mg thành tá dược microcrystalline cellulose calcium carbonat magnesium stearate sodium starch glycolate silicon dioxide iron oxide brown titan dioxyd hydroxypropyl methyl cellulose 6cps peg 6000 talc,thuoc ho
THÀNH PHẦN 460 mg hỗn hợp thuốc khô tương đương Rhizoma cypri 494 mg Radix Saposhenkovia dioractii 329 2 mg Licorice radix và Rhizoma Glycyrrhizae 230 4 mg Sunna Khoong Rhizoma Rhizoma Rhizome cypri 4 mg 494 mg Marjoram Herba Ellscholtzii ciliati 329 2 mg Gram kinh nguyệt fructose vitex trifoliate 329 2 mg tần số gentianae 329 2 mg pericarpium citri reticulatae perenne 494 mg rhizoma ligustici wallichii 164 4 mg tá dược cellulose vi tinh thể canxi cacbonat magiê dixicroxide di starroxide sticoxide. ide hydroxypropyl methyl cellulose 6cps peg 6000 talc,thuoc ho
Thành phần 460 mg Hỗn hợp thuốc khô Rhizoma Cyperea Tương đương 494 mg Radix Saposhnikoviae Divaricate 329 2 mg Cam thảo Radix et Rhizoma Glycyrrhizae 230 4 mg Singh Khương Rhizoma Zingiberis Rescens 806 4 mg Perilla Folium Perilla Frutesensis 494 mg Marjoram Herba Elsholtzia C. Iliatae 329 2 mg Hàng tháng tôn giáo Fructus Vitis Trifoliate 329 2 mg Tần số Radix Gentiana 329 2 mg Pericarpium Citri Reticulatae Perenne 494 mg Rhizoma Ligustici Wallichia 164 4 mg Tá dược Cellulose vi tinh thể Canxi Carbonate Magiê Stearate Natri Tinh bột Glycolate Silicon Dioxide Iron Oxide Brown Titanium Dioxide Hydroxypropyl Methyl Cellulose 6CPS PEG 6000 TAL C,thuoc ho
Thành phần 460 mg hỗn hợp thuốc khô tương ứng với Rhizoma cyperi 494 mg Radix saposhnikoviae divaricatae 329 2 mg Liquorice radix et rhizoma glycyrrhizae 230 4 mg Sinh Khương Rhizoma zingiberis recens 806 4 mg Perilla folium perillae frutescensis 494 mg Marjoram herba elsholtziae ciliatae 32 9 2 mg Kinh nguyệt Viticis Trifoliate 329 2 mg tần số Radix gentianae 329 2 mg Pericarpium citri reticulatae perenne 494 mg Rhizoma ligustici wallichii 164 4 mg tá dược cellulose vi tinh thể canxi cacbonat magie stearat natri tinh bột glycolate silicon dioxide oxit sắt nâu titan dioxide hydroxypropylmethylcellulose 6cps Peg 6000 talc,thuoc ho
Gói 3g chứa paracetamol 325mg natri benzoat 100mg chlorpheniramine maleat 2mg tá dược đường trắng lactose natri carboxymethyl cellulose aspartame chất tạo màu thuốc nhuộm erythrosine bột hương cam,thuoc giam dau
Gói 3g chứa paracetamol 325 mg natri benzoat 100 mg chlorpheniramine maleat 2 mg tá dược đường trắng lactose natri carboxymethyl cellulose aspartame màu thuốc nhuộm erythrosine bột hương cam,thuoc giam dau
Gói 3 g chứa paracetamol 325 mg natri benzoat 100 mg chlorpheniramine maleat 2 mg tá dược đường trắng natri lactose carboxymethylcellulose aspartame màu erythrosine màu cam bột hương vị,thuoc giam dau
Gói 3g chứa Paracetamol 325 mg Natri Benzoat 100 mg Chlorpheniramine Maleate 2 mg Tá dược Đường trắng Lactose Natri Carboxymethyl Cellulose Aspartame Chất tạo màu Erythrosine Bột hương cam,thuoc giam dau
Gói 3g chứa Paracetamol 325mg Natri Benzoat 100mg Chlorpheniramine Maleate 2mg Tá dược Đường trắng Lactose Natri Carboxymethyl Cellulose Aspartame Bột thuốc nhuộm Erythrosine màu Hương cam,thuoc giam dau
Gói 3g chứa Paracetamol 325mg Natri Benzoat 100mg Chlorpheniramine Maleate 2mg Tá dược Đường trắng Lactose Natri Carboxymethyl Cellulose Aspartame Bột thuốc nhuộm Erythrosine màu Hương cam,thuoc giam dau
Gói 3g chứa paracetamol 325mg natri benzoat 100mg chlorpheniramine maleat 2mg tá dược đường trắng lactose natri carboxymethylcellulose aspartame màu bột nhuộm màu cam erythrosine,thuoc giam dau
Gói 3g chứa paracetamol 325mg natri benzoat 100mg chlorpheniramine maleat 2mg tá dược đường trắng lactose natri carboxymethyl cellulose chất tạo màu aspartame erythrosin bột màu cam,thuoc giam dau
gói 3g chứa paracetamol 325mg natri benzoat 100mg clorpheniramin maleat 2mg tá dược đường trắng lactose natri carboxymethyl cellulose aspartam phẩm màu erythrosin dye bột hương cam,thuoc giam dau
Gói 3g chứa paracetamol 325mg natri benzoat 100mg chlorpheniramine maleat 2mg tá dược đường trắng lactose natri carboxymethyl cellulose chất tạo màu aspartame thuốc nhuộm erythrosin bột hương cam,thuoc giam dau
bác sĩ,thuoc khang sinh
Tiến sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
Tiến sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
bác sĩ,thuoc khang sinh
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 Hướng dẫn của bác sĩ Liều tối đa 24 cho trẻ uống 5 lần dùng thuốc Có triệu chứng của bác sĩ Sốt 39 5 lần uống 3 Đau tái phát đến 5 lần,thuoc giam dau
6 cho trẻ em 6 12 cho một trẻ 12 cho 1 1 2 Ghi chú của bác sĩ Liều tối đa 24 Đối với trẻ em phải uống 5 để dùng thuốc Triệu chứng của bác sĩ Xuất hiện sốt 39 5 để uống 3 Đau tái phát đến 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 bác sĩ ghi liều tối đa 24 cho trẻ uống 5 để dùng khi có triệu chứng bác sĩ có vẻ sốt 39 5 để uống 3 cơn đau tái phát đến 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 bác sĩ ghi liều tối đa 24 cho trẻ nên dùng 5 để dùng thuốc Các triệu chứng bác sĩ xuất hiện sốt 39 5 phải uống 3 lần đau lặp lại đến 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 đến 1 1 2 Bác sĩ ghi liều tối đa 24 cho trẻ uống 5 uống thuốc Bác sĩ sốt 39 5 uống 3 Đau lặp lại đến 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 cho trẻ 12 cho 1 1 2 Bác sĩ chỉ định liều tối đa 24 Trẻ uống 5 Uống thuốc Bác sĩ có triệu chứng sốt 39 5 Uống 3 Đau tái phát 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 ghi chú của bác sĩ liều tối đa 24 cho trẻ uống 5 để dùng thuốc điều trị các triệu chứng xuất hiện sốt 39 5 uống 3 cơn đau tái phát a 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 bác sĩ ghi liều tối đa 24 cho trẻ uống 5 để dùng khi có triệu chứng bác sĩ có vẻ sốt 39 5 để uống 3 cơn đau tái phát đến 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 cho trẻ 12 cho 1 1 2 Bác sĩ chỉ định liều tối đa 24 Trẻ uống 5 Uống thuốc Bác sĩ có triệu chứng sốt 39 5 Uống 3 Đau tái phát 5,thuoc giam dau
6 cho trẻ 6 12 cho 1 trẻ 12 cho 1 1 2 bác sĩ ghi liều tối đa 24 cho trẻ uống 5 uống thuốc bác sĩ có triệu chứng sốt 39 5 uống 3 đau tái phát đến 5,thuoc giam dau
uống thuốc erythromycin mekophar 500mg đói kích ứng tiêu hóa uống định sỹ liều đề nghị uống 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
uống thuốc erythromycin mekophar 500 mg đói kích thích tiêu hóa uống theo liều lượng quy định bác sĩ khuyên dùng 500 1000 mg 2 3 trẻ uống 30 50 mg kg chia 2 3,thuoc khang sinh
Uống thuốc erythromycin mekophar 500mg đói khó tiêu uống theo liều lượng bác sĩ kê đơn 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
Uống thuốc erythromycin mekophar 500mg đói khó tiêu uống theo liều lượng bác sĩ kê đơn 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
Uống thuốc erythromycin mekophar 500mg đói khó tiêu uống theo liều lượng bác sĩ kê đơn 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
uống thuốc erythromycin mekophar 500mg lúc đói kích ứng tiêu hóa uống theo liều lượng bác sĩ khuyến cáo uống 500 1000mg 2 3 trẻ uống 30 uống 50mg kg chia 2 3,thuoc khang sinh
uống thuốc erythromycin mecofar 500 mg cơn đói kích thích hệ tiêu hóa uống theo liều lượng bác sĩ khuyên dùng 500 1000 mg 2 3 trẻ uống 30 50 mg kg chia 2 3,thuoc khang sinh
uống thuốc erythromycin mekophar 500 mg đói kích thích tiêu hóa uống theo liều lượng quy định bác sĩ khuyên dùng 500 1000 mg 2 3 trẻ uống 30 50 mg kg chia 2 3,thuoc khang sinh
uống thuốc erythromycin mekophar 500mg đói kích ứng dạ dày uống theo liều lượng bác sĩ khuyên dùng liều khuyến cáo uống 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
Uống thuốc erythromycin mekophar 500mg đói khó tiêu uống theo liều lượng bác sĩ kê đơn 500 1000mg 2 3 trẻ uống 30 50mg kg chia 2 3,thuoc khang sinh
Augmentin kháng sinh phổ rộng kháng khuẩn bệnh kháng khuẩn đặc biệt bệnh viện cộng đồng tác dụng ức chế beta-lactamase Thuốc kháng khuẩn phổ rộng clavulanate amoxicillin bao gồm các chủng kháng kháng sinh beta-lactam sử dụng Augmentin hướng dẫn kê đơn thuốc kháng sinh Vật liệu nhạy cảm Cảm lạnh vi khuẩn cục bộ Augmentin 2 bằng miệng Điều trị ngắn hạn nhiễm trùng tại chỗ nhiễm trùng đường hô hấp viêm amidan tai mũi họng viêm xoang nhiễm trùng tai nhiễm trùng đường hô hấp viêm phế quản mãn tính viêm phổi thùy truyền nhiễm phế quản phổi viêm bàng quang đường tiết niệu sinh dục viêm bàng quang viêm bể thận nhiễm trùng da mô mềm mụn nhọt áp xe viêm mô tế bào nhiễm trùng vết thương xương và khớp bị nhiễm trùng viêm tủy xương nhiễm trùng áp xe nhiễm trùng ổ nhiễm trùng phá thai nhiễm trùng sản khoa nhiễm trùng trong ổ bụng vi khuẩn nhạy cảm tăng cường biến đổi địa lý đặc điểm thời gian dược lý dược lực học thông tin tài liệu tham khảo độ nhạy vi khuẩn địa phương tiến hành các mẫu vi sinh xét nghiệm độ nhạy cảm,thuoc khang sinh
Augmentin kháng sinh phổ rộng kháng khuẩn bệnh kháng khuẩn đặc biệt bệnh viện cộng đồng thuốc ức chế beta lactamase tác dụng kháng khuẩn phổ rộng clavulanate amoxicillin beta lactam bao gồm các chủng kháng kháng sinh sử dụng Augmentin hướng dẫn kê đơn kháng sinh tài liệu nhạy cảm cảm lạnh tại chỗ Augmentin uống điều trị ngắn hạn nhiễm trùng 2 vị trí nhiễm trùng đường hô hấp tai mũi và viêm amiđan viêm xoang nhiễm trùng tai nhiễm trùng đường hô hấp viêm phế quản mãn tính viêm phổi thùy truyền nhiễm phế quản phổi viêm đường tiết niệu sinh dục viêm bàng quang viêm bể thận viêm nhiễm trùng da mô mềm mụn nhọt áp xe viêm mô tế bào nhiễm trùng vết thương xương và khớp bị nhiễm trùng viêm tủy xương áp xe nhiễm trùng ổ nhiễm nhiễm nhiễm trùng phá thai bị nhiễm trùng nhiễm trùng trong ổ bụng sản khoa vi khuẩn nhạy cảm biến đổi địa lý tăng đặc tính thời gian dược lý học dược lực học thông tin vật liệu tham khảo độ nhạy cảm vi khuẩn cục bộ dẫn truyền mẫu vi sinh thử nghiệm độ nhạy cảm,thuoc khang sinh
Augmentin kháng sinh phổ rộng kháng khuẩn bệnh kháng khuẩn đặc biệt bệnh viện cộng đồng thuốc ức chế beta lactamase tác dụng kháng khuẩn phổ rộng clavulanate amoxicillin beta lactam bao gồm các chủng kháng kháng sinh sử dụng Augmentin hướng dẫn kê đơn kháng sinh tài liệu nhạy cảm cảm lạnh tại chỗ Augmentin uống điều trị ngắn hạn nhiễm trùng 2 vị trí nhiễm trùng đường hô hấp tai mũi và viêm amiđan viêm xoang nhiễm trùng tai nhiễm trùng đường hô hấp viêm phế quản mãn tính viêm phổi thùy truyền nhiễm phế quản phổi viêm đường tiết niệu sinh dục viêm bàng quang viêm bể thận viêm nhiễm trùng da mô mềm mụn nhọt áp xe viêm mô tế bào nhiễm trùng vết thương xương và khớp bị nhiễm trùng viêm tủy xương áp xe nhiễm trùng ổ nhiễm nhiễm nhiễm trùng phá thai bị nhiễm trùng nhiễm trùng trong ổ bụng sản khoa vi khuẩn nhạy cảm biến đổi địa lý tăng đặc tính thời gian dược lý học dược lực học thông tin vật liệu tham khảo độ nhạy cảm vi khuẩn cục bộ dẫn truyền mẫu vi sinh thử nghiệm độ nhạy cảm,thuoc khang sinh
Kháng sinh kháng khuẩn phổ rộng Augmentin bệnh kháng khuẩn đặc biệt bệnh viện cộng đồng tác dụng ức chế beta-lactamase kháng khuẩn phổ rộng clavulanate amoxicillin bao gồm các chủng kháng kháng sinh beta-lactam hướng dẫn sử dụng Augmentin để kê đơn kháng sinh cho đối tượng nhạy cảm với cảm lạnh do vi khuẩn cục bộ Augmentin Oral 2 Điều trị ngắn hạn nhiễm trùng tại chỗ Nhiễm trùng đường hô hấp Viêm tai thanh quản Viêm xoang Viêm tai Nhiễm trùng đường hô hấp Viêm phế quản mãn tính Viêm phổi thùy Viêm phế quản phổi truyền nhiễm Viêm bàng quang sinh dục Viêm bàng quang bể thận Nhiễm trùng da Áp xe nhuyễn thể Viêm mô tế bào nhiễm trùng Vết thương nhiễm trùng Viêm xương và khớp Viêm xương khớp nhiễm trùng Áp xe nhiễm trùng Các ổ nhiễm trùng Phá thai nhiễm trùng Nhiễm trùng sản khoa - nhiễm trùng bụng Vi khuẩn nhạy cảm Tăng sự thay đổi về mặt địa lý Đặc điểm thời gian Dược lý Dược lực học Thông tin tham khảo Dị ứng chất Vi khuẩn tại chỗ Quy trình lấy mẫu vi sinh Thử nghiệm độ nhạy,thuoc khang sinh
Augmentin Kháng sinh phổ rộng Kháng khuẩn kháng khuẩn đặc biệt Bệnh viện Cộng đồng Tác dụng ức chế Beta-Lactamase Clavulanate Bao gồm Amoxicillin kháng khuẩn phổ rộng Sử dụng Augmentin Hướng dẫn kê đơn Sử dụng các chủng kháng kháng sinh Beta-Lactam Điều trị bằng kháng sinh hoặc nhiễm trùng ngắn Sử dụng Augmentin hướng dẫn cho Nhiễm trùng đường hô hấp Viêm amiđan Viêm xoang Nhiễm trùng tai Nhiễm trùng đường hô hấp Viêm phế quản mãn tính Viêm phổi thùy Viêm phế quản phổi truyền nhiễm Đường tiết niệu sinh dục Viêm bàng quang Viêm niệu đạo Viêm bể thận Nhiễm trùng da Viêm mô mềm và viêm khớp Nhiễm trùng vết thương Áp xe nhiễm trùng Nhiễm trùng Sẩy thai do Nhiễm trùng sản khoa Nhiễm trùng trong ổ bụng Vi khuẩn nhạy cảm Augmentin Sự thay đổi về địa lý Đặc điểm thời gian Dược lý Dược lực học Thông tin Tài liệu tham khảo Độ nhạy cảm Vi khuẩn địa phương Mẫu vi sinh Kiểm tra độ nhạy cảm,thuoc khang sinh
